slug,name,location_name,address,zone,phone,email,website_url,instagram_url,image_url,latitude,longitude,short_description,full_description,active,source,metadata,orden_base,categoria
blue-marlin,Blue Marlin,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311131,info@bluemarlinibiza.com,https://bluemarlinibiza.com,bluemarlin_ibiza,https://images.ibizaglam.app/bluemarlin.jpg,38.8765,1.4012,"Beach club de lujo","Blue Marlin es uno de los beach clubs más exclusivos.",true,manual,{},21,BEACH_CLUB
nikki-beach,Nikki Beach,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311132,info@nikkibeach.com,https://nikkibeach.com,nikkibeachibiza,https://images.ibizaglam.app/nikkibeach.jpg,38.8765,1.4012,"Lujo y sofisticación","Nikki Beach es el beach club original que combina música, gastronomía y moda.",true,manual,{},22,BEACH_CLUB
cotton-beach,Cotton Beach Club,Cala Tarida,"Cala Tarida, 07830",cala-tarida,+34973311133,info@cottonbeachclub.com,https://cottonbeachclub.com,cottonbeachclub,https://images.ibizaglam.app/cottonbeach.jpg,38.9422,1.2675,"Elegancia frente al mar","Cotton Beach Club ofrece una experiencia gastronómica y musical única.",true,manual,{},23,BEACH_CLUB
sa-trinxa,Sa Trinxa,Las Salinas,"Playa Las Salinas, 07830",las-salinas,+34973311134,info@saturdays.com,https://saturdays.com,satrinxaibiza,https://images.ibizaglam.app/satrinxa.jpg,38.8603,1.3603,"El chiringuito mítico","Sa Trinxa es el chiringuito más emblemático de Las Salinas.",true,manual,{},24,BEACH_CLUB
el-chiringuito,El Chiringuito,Es Cavallet,"Playa Es Cavallet, 07830",es-cavallet,+34973311135,info@elchiringuitoibiza.com,https://elchiringuitoibiza.com,elchiringuitoibiza,https://images.ibizaglam.app/elchiringuito.jpg,38.8556,1.3667,"Chiringuito chic","El Chiringuito es el lugar de moda en la playa de Es Cavallet.",true,manual,{},25,BEACH_CLUB
bora-bora,Bora Bora,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311136,info@boraboraibiza.com,https://boraboraibiza.com,boraboraibiza,https://images.ibizaglam.app/borabora.jpg,38.8765,1.4012,"El pionero","Bora Bora fue el primer beach club de Ibiza, legendario.",true,manual,{},26,BEACH_CLUB
las-dalias,Las Dalias,San Carlos,"Ctra. San Carlos, 07850",san-carlos,+34973311137,info@lasdalias.es,https://lasdalias.es,lasdaliasibiza,https://images.ibizaglam.app/lasdalias.jpg,39.0111,1.5653,"Mercado hippie","Las Dalias es el mercado hippie más famoso con música en vivo.",true,manual,{},27,DAY
cala-comte,Cala Comte,Sant Josep,"Cala Comte, 07830",cala-comte,+34973311138,info@calacomte.com,https://calacomte.com,calacomte,https://images.ibizaglam.app/calacomte.jpg,38.9722,1.2275,"Mejor atardecer","Cala Comte es famosa por sus puestas de sol y aguas turquesas.",true,manual,{},28,PLAYA
cala-bassa,Cala Bassa,Sant Josep,"Cala Bassa, 07830",cala-bassa,+34973311139,info@calabassa.com,https://calabassa.com,calabassa,https://images.ibizaglam.app/calabassa.jpg,38.9528,1.2358,"Aguas cristalinas","Cala Bassa ofrece aguas cristalinas y servicios de calidad.",true,manual,{},29,PLAYA
cala-saLlada,Cala Sa Llada,San Antonio,"Cala Sa Llada, 07820",san-antonio,+34973311140,info@calasallada.com,https://calasallada.com,calasallada,https://images.ibizaglam.app/calasallada.jpg,38.9875,1.2997,"Pequeña y tranquila","Cala Sa Llada es una pequeña cala cerca de San Antonio.",true,manual,{},30,PLAYA
